tamanho_hash,numero_registros,numero_colisoes,ocupacao_media_chaves,ocupacao_std_chaves
1000,100000,99000,100.0,10.012991560967182
10000,100000,90000,10.0,3.1431194695715914
100000,100000,36641,1.0,0.9959016015651345
1000,100000,99000,100.0,10.034440691936945
10000,100000,90000,10.0,3.1296645187623544
100000,100000,36783,1.0,0.9995699075102251
1000,100000,99000,100.0,9.71195140020789
10000,100000,90000,10.0,3.152744835853355
100000,100000,36868,1.0,1.0011793046203061
1000,100000,99000,100.0,9.703092290605094
10000,100000,90000,10.0,3.1518883228947057
100000,100000,36799,1.0,0.9998199837970834
1000,100000,99000,100.0,9.671194341962114
10000,100000,90000,10.0,3.1905485421789153
100000,100000,36801,1.0,0.9999299975498285
