tamanho_hash,numero_registros,elemento,indice_busca,tempo
1000,5000,hash+linkedlist,0,6.044340133666992e-06
1000,5000,hash+list,0,3.444385528564453e-06
1000,5000,list,0,0.0010741567015647888
10000,5000,hash+linkedlist,1,2.6137709617614744e-06
10000,5000,hash+list,1,2.61918306350708e-06
10000,5000,list,1,0.0010849844098091126
100000,5000,hash+linkedlist,2,2.838587760925293e-06
100000,5000,hash+list,2,2.343261241912842e-06
100000,5000,list,2,0.0011044438600540162
1000,5000,hash+linkedlist,3,6.12032413482666e-06
1000,5000,hash+list,3,2.343571186065674e-06
1000,5000,list,3,0.0010866958737373352
10000,5000,hash+linkedlist,4,4.982638359069825e-06
10000,5000,hash+list,4,0.0
10000,5000,list,4,0.001085881495475769
100000,5000,hash+linkedlist,5,5.30858039855957e-06
100000,5000,hash+list,5,1.481926441192627e-06
100000,5000,list,5,0.001186722445487976
1000,5000,hash+linkedlist,6,7.401406764984131e-06
1000,5000,hash+list,6,1.5625715255737304e-06
1000,5000,list,6,0.0011131575465202332
10000,5000,hash+linkedlist,7,1.5624761581420898e-06
10000,5000,hash+list,7,4.025733470916748e-06
10000,5000,list,7,0.0010930041313171387
100000,5000,hash+linkedlist,8,2.45739221572876e-06
100000,5000,hash+list,8,3.876435756683349e-06
100000,5000,list,8,0.001092207431793213
1000,5000,hash+linkedlist,9,3.069329261779785e-06
1000,5000,hash+list,9,2.344238758087158e-06
1000,5000,list,9,0.001092214846611023
10000,5000,hash+linkedlist,10,6.020045280456543e-06
10000,5000,hash+list,10,2.9690265655517577e-06
10000,5000,list,10,0.0011127783536911012
100000,5000,hash+linkedlist,11,3.124988079071045e-06
100000,5000,hash+list,11,3.144395351409912e-06
100000,5000,list,11,0.0011037880659103393
1000,5000,hash+linkedlist,12,1.5628814697265625e-06
1000,5000,hash+list,12,2.3438096046447755e-06
1000,5000,list,12,0.001115036916732788
10000,5000,hash+linkedlist,13,2.8193950653076172e-06
10000,5000,hash+list,13,4.838275909423828e-06
10000,5000,list,13,0.0010962854385375977
100000,5000,hash+linkedlist,14,2.3935556411743166e-06
100000,5000,hash+list,14,3.907215595245361e-06
100000,5000,list,14,0.001086709439754486
