tamanho_hash,numero_registros,elemento,indice_busca,tempo
1000,100000,hash+linkedlist,0,4.968252182006836e-05
1000,100000,hash+list,0,3.3409488201141356e-05
1000,100000,list,0,0.023104398131370545
10000,100000,hash+linkedlist,1,2.3023223876953125e-05
10000,100000,hash+list,1,2.443981170654297e-06
10000,100000,list,1,0.024125528824329376
100000,100000,hash+linkedlist,2,1.009523868560791e-05
100000,100000,hash+list,2,3.907072544097901e-06
100000,100000,list,2,0.024161113381385803
1000,100000,hash+linkedlist,3,4.1848886013031006e-05
1000,100000,hash+list,3,2.4706470966339113e-05
1000,100000,list,3,0.024020972514152528
10000,100000,hash+linkedlist,4,1.7222654819488525e-05
10000,100000,hash+list,4,4.057943820953369e-06
10000,100000,list,4,0.024911313652992248
100000,100000,hash+linkedlist,5,1.6075992584228515e-05
100000,100000,hash+list,5,3.5256266593933104e-06
100000,100000,list,5,0.024912272477149965
1000,100000,hash+linkedlist,6,5.44194221496582e-05
1000,100000,hash+list,6,2.1540749073028564e-05
1000,100000,list,6,0.024182484245300295
10000,100000,hash+linkedlist,7,1.8750810623168947e-05
10000,100000,hash+list,7,6.059610843658447e-06
10000,100000,list,7,0.024661724960803984
100000,100000,hash+linkedlist,8,1.479417085647583e-05
100000,100000,hash+list,8,7.383561134338379e-06
100000,100000,list,8,0.024665133953094484
1000,100000,hash+linkedlist,9,5.333590507507324e-05
1000,100000,hash+list,9,2.3749887943267822e-05
1000,100000,list,9,0.02428983769416809
10000,100000,hash+linkedlist,10,1.4625763893127442e-05
10000,100000,hash+list,10,5.46950101852417e-06
10000,100000,list,10,0.02472055594921112
100000,100000,hash+linkedlist,11,1.130986213684082e-05
100000,100000,hash+list,11,3.1250715255737305e-06
100000,100000,list,11,0.024533582353591918
1000,100000,hash+linkedlist,12,5.311596393585205e-05
1000,100000,hash+list,12,2.233320474624634e-05
1000,100000,list,12,0.02474339861869812
10000,100000,hash+linkedlist,13,1.9243144989013673e-05
10000,100000,hash+list,13,5.790555477142334e-06
10000,100000,list,13,0.024728530979156494
100000,100000,hash+linkedlist,14,1.1798322200775147e-05
100000,100000,hash+list,14,3.4763693809509276e-06
100000,100000,list,14,0.024715935933589936
